danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.302,0.511,0.0,-9.108,1.0,0.043,0.579,4.2e-05,0.119,0.0795,132.072,audio_features,2pBdYmfFTUCyjqZmUNZMPE,spotify:track:2pBdYmfFTUCyjqZmUNZMPE,https://api.spotify.com/v1/tracks/2pBdYmfFTUCyjqZmUNZMPE,https://api.spotify.com/v1/audio-analysis/2pBdYmfFTUCyjqZmUNZMPE,160458.0,4.0
0.835,0.587,9.0,-5.324,1.0,0.0549,0.0224,0.00978,0.058,0.703,119.979,audio_features,67dwJvTiB8VoKdbxOR3Hhb,spotify:track:67dwJvTiB8VoKdbxOR3Hhb,https://api.spotify.com/v1/tracks/67dwJvTiB8VoKdbxOR3Hhb,https://api.spotify.com/v1/audio-analysis/67dwJvTiB8VoKdbxOR3Hhb,120120.0,4.0
0.26,0.713,0.0,-8.222,1.0,0.296,0.527,0.0737,0.108,0.136,180.111,audio_features,6zFqu6VWpbpO36qr9QkH4G,spotify:track:6zFqu6VWpbpO36qr9QkH4G,https://api.spotify.com/v1/tracks/6zFqu6VWpbpO36qr9QkH4G,https://api.spotify.com/v1/audio-analysis/6zFqu6VWpbpO36qr9QkH4G,207628.0,3.0
0.429,0.862,2.0,-5.696,1.0,0.076,0.0931,1.13e-06,0.161,0.335,177.023,audio_features,6Zy2DubYwPUPqbjWyR80uV,spotify:track:6Zy2DubYwPUPqbjWyR80uV,https://api.spotify.com/v1/tracks/6Zy2DubYwPUPqbjWyR80uV,https://api.spotify.com/v1/audio-analysis/6Zy2DubYwPUPqbjWyR80uV,249640.0,4.0
0.627,0.859,1.0,-6.321,1.0,0.0328,0.0474,0.852,0.109,0.133,116.019,audio_features,1fTtPH0xGwFOXM5VlkxOX1,spotify:track:1fTtPH0xGwFOXM5VlkxOX1,https://api.spotify.com/v1/tracks/1fTtPH0xGwFOXM5VlkxOX1,https://api.spotify.com/v1/audio-analysis/1fTtPH0xGwFOXM5VlkxOX1,303360.0,4.0
0.676,0.889,1.0,-7.167,1.0,0.163,0.373,0.00767,0.448,0.876,176.986,audio_features,7Aie6UJe45uy867mpfLaxA,spotify:track:7Aie6UJe45uy867mpfLaxA,https://api.spotify.com/v1/tracks/7Aie6UJe45uy867mpfLaxA,https://api.spotify.com/v1/audio-analysis/7Aie6UJe45uy867mpfLaxA,105866.0,4.0
0.612,0.643,2.0,-9.286,1.0,0.0429,0.292,0.0354,0.336,0.469,120.023,audio_features,4saON51OXJzq7dDhw9ge6R,spotify:track:4saON51OXJzq7dDhw9ge6R,https://api.spotify.com/v1/tracks/4saON51OXJzq7dDhw9ge6R,https://api.spotify.com/v1/audio-analysis/4saON51OXJzq7dDhw9ge6R,221264.0,4.0
0.628,0.731,9.0,-3.57,0.0,0.0288,0.23,0.467,0.099,0.467,117.957,audio_features,5x7HXluqfEmZyQLNYZCLy2,spotify:track:5x7HXluqfEmZyQLNYZCLy2,https://api.spotify.com/v1/tracks/5x7HXluqfEmZyQLNYZCLy2,https://api.spotify.com/v1/audio-analysis/5x7HXluqfEmZyQLNYZCLy2,181525.0,4.0
0.363,0.395,10.0,-8.186,1.0,0.0347,0.646,0.000267,0.11,0.134,140.084,audio_features,0WUoazK5evEsbg7rTgBwOn,spotify:track:0WUoazK5evEsbg7rTgBwOn,https://api.spotify.com/v1/tracks/0WUoazK5evEsbg7rTgBwOn,https://api.spotify.com/v1/audio-analysis/0WUoazK5evEsbg7rTgBwOn,377992.0,4.0
0.45,0.396,5.0,-12.164,1.0,0.0461,0.831,0.784,0.111,0.249,169.92,audio_features,7BL8GTgqJM40dWbOpoAr6C,spotify:track:7BL8GTgqJM40dWbOpoAr6C,https://api.spotify.com/v1/tracks/7BL8GTgqJM40dWbOpoAr6C,https://api.spotify.com/v1/audio-analysis/7BL8GTgqJM40dWbOpoAr6C,212040.0,1.0
0.687,0.647,8.0,-11.562,1.0,0.0817,0.0263,0.657,0.194,0.7,100.045,audio_features,1Xm1RI9xhFwlwsD8mawLaR,spotify:track:1Xm1RI9xhFwlwsD8mawLaR,https://api.spotify.com/v1/tracks/1Xm1RI9xhFwlwsD8mawLaR,https://api.spotify.com/v1/audio-analysis/1Xm1RI9xhFwlwsD8mawLaR,173250.0,4.0
0.514,0.594,8.0,-10.352,1.0,0.43,0.7,0.00048,0.327,0.257,120.275,audio_features,5qbnGuThjE1jI7xZPfJzqm,spotify:track:5qbnGuThjE1jI7xZPfJzqm,https://api.spotify.com/v1/tracks/5qbnGuThjE1jI7xZPfJzqm,https://api.spotify.com/v1/audio-analysis/5qbnGuThjE1jI7xZPfJzqm,207901.0,4.0
0.49,0.781,8.0,-6.544,1.0,0.363,0.375,0.0234,0.133,0.326,90.058,audio_features,2CAs5VYflEBhBVZRxdPgyx,spotify:track:2CAs5VYflEBhBVZRxdPgyx,https://api.spotify.com/v1/tracks/2CAs5VYflEBhBVZRxdPgyx,https://api.spotify.com/v1/audio-analysis/2CAs5VYflEBhBVZRxdPgyx,345978.0,4.0
0.385,0.952,10.0,-5.338,0.0,0.25,0.0199,1.33e-06,0.123,0.408,178.279,audio_features,3vEf3H0EtDIBN8O2c1g1lc,spotify:track:3vEf3H0EtDIBN8O2c1g1lc,https://api.spotify.com/v1/tracks/3vEf3H0EtDIBN8O2c1g1lc,https://api.spotify.com/v1/audio-analysis/3vEf3H0EtDIBN8O2c1g1lc,282506.0,4.0
0.471,0.815,1.0,-5.649,1.0,0.314,0.00538,0.000244,0.335,0.41,73.028,audio_features,6OGnUJQMOQGgBnnBSSHiOo,spotify:track:6OGnUJQMOQGgBnnBSSHiOo,https://api.spotify.com/v1/tracks/6OGnUJQMOQGgBnnBSSHiOo,https://api.spotify.com/v1/audio-analysis/6OGnUJQMOQGgBnnBSSHiOo,360327.0,4.0
0.572,0.734,8.0,-2.315,1.0,0.34,0.00227,2.08e-05,0.243,0.399,149.453,audio_features,5dCQYWwEslUXo5dJm2q6jy,spotify:track:5dCQYWwEslUXo5dJm2q6jy,https://api.spotify.com/v1/tracks/5dCQYWwEslUXo5dJm2q6jy,https://api.spotify.com/v1/audio-analysis/5dCQYWwEslUXo5dJm2q6jy,414627.0,4.0
0.716,0.912,0.0,-5.318,0.0,0.0396,0.853,0.863,0.0574,0.925,130.002,audio_features,1xqbH7YDJ2sdKYggltcaGH,spotify:track:1xqbH7YDJ2sdKYggltcaGH,https://api.spotify.com/v1/tracks/1xqbH7YDJ2sdKYggltcaGH,https://api.spotify.com/v1/audio-analysis/1xqbH7YDJ2sdKYggltcaGH,228923.0,4.0
0.7,0.94,7.0,-13.34,1.0,0.0751,0.0115,0.859,0.707,0.388,137.18,audio_features,0VORtHcff5a14UUYbgIktO,spotify:track:0VORtHcff5a14UUYbgIktO,https://api.spotify.com/v1/tracks/0VORtHcff5a14UUYbgIktO,https://api.spotify.com/v1/audio-analysis/0VORtHcff5a14UUYbgIktO,327307.0,4.0
