id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
3NGkFGOcZtl92uQ04koWlt,Got Wet,Leak Bros,16,2004-06-20,0.388,0.983,11,-2.804,1,0.188,0.0,0.119,0.44,182.159,241441,4
5PqlHXOhYCQkNpllFeI7qq,Waterworld,Leak Bros,15,2004-06-20,0.362,0.789,9,-6.648,0,0.367,2.54e-05,0.41,0.213,76.086,281214,4
5etzGthq61lMdqeBXxLkXp,See Thru,Leak Bros,14,2004-06-20,0.311,0.867,6,-4.507,1,0.0946,3.53e-06,0.136,0.323,75.886,213827,4
3oTkju61CCIz8fAxFXKLrB,Remind Me,Yellow Ostrich,11,2023-01-27,0.314,0.48,2,-8.573,1,0.0956,0.133,0.0903,0.0537,119.335,188192,3
0HLsWzkNNxWqx6sBXBBlDR,Who I Be (Dark R&B),SpaceGhostPurrp,23,2014-05-27,0.565,0.95,8,-5.245,0,0.0598,0.0,0.196,0.574,128.523,216375,4
4PBm6F4uoKFxrMs2lAMyC9,Friday (Strip Club),SpaceGhostPurrp,44,2014-10-07,0.653,0.826,6,-6.611,0,0.027,5.12e-06,0.0866,0.458,183.834,178258,4
6xOB01LjZWSM3Qop1CQE37,Glitch,Autechre,26,1994-11-07,0.75,0.914,7,-13.64,0,0.658,0.854,0.0766,0.703,150.05,375800,4
5sogWK5j3QRvDhPtIpuLDQ,The Number Song,DJ Shadow,2,1996-09-16,0.405,0.793,7,-7.364,0,0.0658,0.809,0.106,0.938,104.036,274267,4
4TEdXKd9AKAclNPLLodIgM,Changeling,DJ Shadow,2,1996-09-16,0.594,0.809,10,-6.489,0,0.333,0.827,0.524,0.518,87.696,436200,1
7FujnTZphK15mC6eLYEaAV,What Does Your Soul Look Like - Pt. 4,DJ Shadow,2,1996-09-16,0.511,0.707,4,-8.475,0,0.495,0.903,0.179,0.6,142.033,302293,4
46o2neDiOIDB00DFiL1z5M,Shrinkwrap,This Heat,24,1981-07-03,0.656,0.83,9,-7.039,1,0.276,0.0,0.333,0.219,111.762,100987,4
