id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
4O9tOyMOq8Oioun2MsULH5,RENTAL,BROCKHAMPTON,57,2017-12-15,0.672,0.452,0,-7.947,1,0.194,0.0,0.251,0.514,82.012,213659,4
0dWOFwdXrbBUYqD9DLsoyK,BLEACH,BROCKHAMPTON,67,2017-12-15,0.595,0.657,1,-6.498,0,0.462,0.000597,0.437,0.718,156.093,273151,4
0zL76omZWytdTtyXKVfuDw,Homemade Dynamite,Lorde,0,2017-11-10,0.771,0.431,10,-5.423,1,0.287,2.75e-06,0.0934,0.268,107.047,189796,4
0dtMnnWhm2AXVxjJy5hUPe,Sober II (Melodrama),Lorde,0,2017-11-10,0.524,0.312,8,-11.627,0,0.166,4.79e-06,0.073,0.101,112.948,178639,4
3VDX4CCJWbRXBKuW5IY5R9,Hard Feelings/Loveless,Lorde,0,2017-11-10,0.487,0.445,1,-10.959,0,0.0328,0.0104,0.0778,0.18,97.031,367391,4
5H4XMIorgnOoTrQ2JLPvEl,Boxing Day Blues,Courtney Barnett,0,2015-03-23,0.615,0.0617,2,-15.092,1,0.937,0.000197,0.103,0.374,124.347,182063,4
5SxlUF7J8tyFIEF22EomeP,Pothole (feat. Jaden Smith),Jaden,66,2017-07-21,0.543,0.572,11,-8.974,1,0.51,7.23e-06,0.28,0.569,89.386,237000,4
5WNYg3usc6H8N3MBEp4zVk,Boredom (feat. Rex Orange County & Anna of the North),Anna of the North,73,2017-07-21,0.559,0.578,8,-9.54,1,0.79,0.000522,0.324,0.239,79.938,320720,4
4bEcoz1OcfMgUbp2ft8ieQ,911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),Steve Lacy,76,2017-07-21,0.48,0.61,0,-7.042,1,0.0456,0.0,0.313,0.297,90.034,255653,4
7DvTYzKJ7e6MpESurnKeer,Persephone,Yumi Zouma,9,2017-10-04,0.676,0.567,4,-7.181,0,0.445,0.000369,0.129,0.477,113.981,273773,4
5DO1SazQppcsKQ1c1JpyQz,Hol' Up,Kendrick Lamar,0,2011-07-02,0.607,0.869,5,-5.271,1,0.781,0.0,0.137,0.577,155.983,173158,4
3gl1RenSXn1biKijZ1qvky,Ronald Reagan Era,Kendrick Lamar,0,2011-07-02,0.424,0.828,1,-4.991,0,0.0152,0.0,0.389,0.3,167.469,216900,4
4RFQqoOFw0pdropkjrPnh3,Midway,Bad Bad Hats,40,2015-07-17,0.747,0.711,7,-4.27,1,0.0291,0.000465,0.101,0.353,113.007,184871,4
4sEnZad9gvLSLkyt8DW11O,QUEER,BROCKHAMPTON,52,2017-08-25,0.773,0.625,1,-7.029,0,0.149,0.0,0.0619,0.676,82.004,227648,4
1CKhx6sSkUxzomXnYZqSMh,TOKYO,BROCKHAMPTON,54,2017-08-25,0.632,0.625,2,-5.781,1,0.0644,0.0,0.689,0.535,139.981,192126,4
4zbb4mISfck5isCpFsjsr3,GAMBA,BROCKHAMPTON,45,2017-08-25,0.652,0.511,5,-8.055,1,0.314,0.00267,0.163,0.296,95.045,202228,4
7IDKIfRltN07TdsdTVtRHh,All Over,CRUISR,50,2014,0.552,0.931,2,-5.166,1,0.00836,0.0,0.0551,0.666,158.036,182653,4
3f9Vq2NkEErxgbToSAztFD,Kidnap Me,CRUISR,42,2014,0.312,0.789,0,-6.29,1,0.0251,1.05e-05,0.186,0.82,176.745,202200,4
45oGS3iHeT2cvkihSP7KzK,Dakota,Charlie Wilson,44,2017-07-28,0.665,0.526,0,-6.668,0,0.592,0.0,0.613,0.651,99.815,225067,4
